Subject ID: sub18_2 , Experiment Time: 2021-01-08T09:34:00
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,2,Interval,0,0,0,0,9:34:16:196,0,0,0,0,9:34:18:821,None
1,2,Encode,0,0,0,0,9:34:18:823,0,0,0,0,9:34:23:842,None
1,2,Navigate,37.0405,8,80,2.5,9:34:23:844,105,27.45998,13.16554,9.580521,9:34:26:946,Hit
1,2,Correction,0,0,0,0,9:34:26:947,0,0,0,0,9:34:30:944,1
2,1,Interval,0,0,0,0,9:34:30:975,0,0,0,0,9:34:34:7,None
2,1,Encode,0,0,0,0,9:34:34:10,0,0,0,0,9:34:39:27,None
2,1,Navigate,34.03489,6,80,2.5,9:34:39:27,80,22.66003,14.52373,11.37486,9:34:42:361,Miss
2,1,Correction,0,0,0,0,9:34:42:361,0,0,0,0,9:34:46:359,1
3,1,Interval,0,0,0,0,9:34:46:390,0,0,0,0,9:34:49:391,None
3,1,Encode,0,0,0,0,9:34:49:394,0,0,0,0,9:34:54:410,None
3,1,Navigate,33.03681,11,80,2.5,9:34:54:410,80,31.97996,9.092102,1.056852,9:34:57:78,Hit
3,1,Correction,0,0,0,0,9:34:57:78,0,0,0,0,9:35:1:77,2
4,0,Interval,0,0,0,0,9:35:1:107,0,0,0,0,9:35:4:107,None
4,0,Encode,0,0,0,0,9:35:4:111,0,0,0,0,9:35:9:126,None
4,0,Navigate,74.03683,4,0,2.5,9:35:9:126,0,66.74077,11.60955,7.296059,9:35:25:176,Hit
4,0,Correction,0,0,0,0,9:35:25:176,0,0,0,0,9:35:29:142,3
5,0,Interval,0,0,0,0,9:35:29:173,0,0,0,0,9:35:32:173,None
5,0,Encode,0,0,0,0,9:35:32:177,0,0,0,0,9:35:37:175,None
5,0,Navigate,31.03482,10,0,2.5,9:35:37:175,0,31.90005,9.071923,-0.8652306,9:35:40:109,Hit
5,0,Correction,0,0,0,0,9:35:40:109,0,0,0,0,9:35:44:109,4
6,1,Interval,0,0,0,0,9:35:44:140,0,0,0,0,9:35:47:156,None
6,1,Encode,0,0,0,0,9:35:47:159,0,0,0,0,9:35:52:175,None
6,1,Navigate,45.03684,6,80,2.5,9:35:52:175,80,41.50002,9.69834,3.536823,9:35:58:642,Hit
6,1,Correction,0,0,0,0,9:35:58:642,0,0,0,0,9:36:2:641,5
7,1,Interval,0,0,0,0,9:36:2:673,0,0,0,0,9:36:5:689,None
7,1,Encode,0,0,0,0,9:36:5:692,0,0,0,0,9:36:10:707,None
7,1,Navigate,43.03677,3,80,2.5,9:36:10:708,80,39.94009,9.54664,3.096684,9:36:23:176,Hit
7,1,Correction,0,0,0,0,9:36:23:176,0,0,0,0,9:36:27:175,6
8,1,Interval,0,0,0,0,9:36:27:206,0,0,0,0,9:36:30:205,None
8,1,Encode,0,0,0,0,9:36:30:209,0,0,0,0,9:36:35:224,None
8,1,Navigate,70.03682,8,80,2.5,9:36:35:224,80,70.6601,9.051961,-0.6232758,9:36:43:725,Hit
8,1,Correction,0,0,0,0,9:36:43:725,0,0,0,0,9:36:47:724,7
9,0,Interval,0,0,0,0,9:36:47:755,0,0,0,0,9:36:50:787,None
9,0,Encode,0,0,0,0,9:36:50:790,0,0,0,0,9:36:55:823,None
9,0,Navigate,54.03679,9,0,2.5,9:36:55:823,0,60.10008,10.87716,-6.063293,9:37:2:191,Hit
9,0,Correction,0,0,0,0,9:37:2:191,0,0,0,0,9:37:6:191,8
10,0,Interval,0,0,0,0,9:37:6:222,0,0,0,0,9:37:9:222,None
10,0,Encode,0,0,0,0,9:37:9:225,0,0,0,0,9:37:14:240,None
10,0,Navigate,61.03681,9,0,2.5,9:37:14:241,0,64.06009,9.523115,-3.023277,9:37:21:58,Hit
10,0,Correction,0,0,0,0,9:37:21:58,0,0,0,0,9:37:25:23,9
11,2,Interval,0,0,0,0,9:37:25:55,0,0,0,0,9:37:28:84,None
11,2,Encode,0,0,0,0,9:37:28:88,0,0,0,0,9:37:33:123,None
11,2,Navigate,71.03703,11,80,2.5,9:37:33:123,73,90.94028,21.85607,-19.90324,9:37:41:124,Miss
11,2,Correction,0,0,0,0,9:37:41:124,0,0,0,0,9:37:45:121,9
12,1,Interval,0,0,0,0,9:37:45:154,0,0,0,0,9:37:48:154,None
12,1,Encode,0,0,0,0,9:37:48:157,0,0,0,0,9:37:53:173,None
12,1,Navigate,73.0368,5,80,2.5,9:37:53:173,80,71.89948,9.10181,1.137321,9:38:7:40,Hit
12,1,Correction,0,0,0,0,9:38:7:41,0,0,0,0,9:38:11:39,10
13,0,Interval,0,0,0,0,9:38:11:70,0,0,0,0,9:38:14:70,None
13,0,Encode,0,0,0,0,9:38:14:73,0,0,0,0,9:38:19:89,None
13,0,Navigate,66.03674,4,0,2.5,9:38:19:89,0,64.18071,9.219229,1.856033,9:38:34:490,Hit
13,0,Correction,0,0,0,0,9:38:34:490,0,0,0,0,9:38:38:489,11
14,2,Interval,0,0,0,0,9:38:38:520,0,0,0,0,9:38:41:536,None
14,2,Encode,0,0,0,0,9:38:41:540,0,0,0,0,9:38:46:556,None
14,2,Navigate,57.03679,11,80,2.5,9:38:46:556,63,65.42014,12.3219,-8.38335,9:38:52:256,Hit
14,2,Correction,0,0,0,0,9:38:52:256,0,0,0,0,9:38:56:255,12
15,1,Interval,0,0,0,0,9:38:56:286,0,0,0,0,9:38:59:317,None
15,1,Encode,0,0,0,0,9:38:59:322,0,0,0,0,9:39:4:337,None
15,1,Navigate,51.0349,6,80,2.5,9:39:4:337,80,37.30005,16.43768,13.73485,9:39:10:106,Miss
15,1,Correction,0,0,0,0,9:39:10:106,0,0,0,0,9:39:14:103,12
16,2,Interval,0,0,0,0,9:39:14:136,0,0,0,0,9:39:17:136,None
16,2,Encode,0,0,0,0,9:39:17:139,0,0,0,0,9:39:22:155,None
16,2,Navigate,68.03679,5,80,2.5,9:39:22:155,112,57.69969,13.72604,10.3371,9:39:33:189,Miss
16,2,Correction,0,0,0,0,9:39:33:189,0,0,0,0,9:39:37:187,12
17,1,Interval,0,0,0,0,9:39:37:218,0,0,0,0,9:39:40:251,None
17,1,Encode,0,0,0,0,9:39:40:255,0,0,0,0,9:39:45:271,None
17,1,Navigate,79.03486,10,80,2.5,9:39:45:271,80,75.69999,9.626633,3.334869,9:39:52:571,Hit
17,1,Correction,0,0,0,0,9:39:52:571,0,0,0,0,9:39:56:538,13
18,2,Interval,0,0,0,0,9:39:56:569,0,0,0,0,9:39:59:585,None
18,2,Encode,0,0,0,0,9:39:59:588,0,0,0,0,9:40:4:604,None
18,2,Navigate,46.03685,8,80,2.5,9:40:4:604,108,44.25996,9.203641,1.77689,9:40:9:805,Hit
18,2,Correction,0,0,0,0,9:40:9:805,0,0,0,0,9:40:13:803,14
19,0,Interval,0,0,0,0,9:40:13:835,0,0,0,0,9:40:16:835,None
19,0,Encode,0,0,0,0,9:40:16:838,0,0,0,0,9:40:21:854,None
19,0,Navigate,64.03676,10,0,2.5,9:40:21:854,0,69.30009,10.45239,-5.263329,9:40:28:504,Hit
19,0,Correction,0,0,0,0,9:40:28:505,0,0,0,0,9:40:32:503,15
20,0,Interval,0,0,0,0,9:40:32:534,0,0,0,0,9:40:35:551,None
20,0,Encode,0,0,0,0,9:40:35:555,0,0,0,0,9:40:40:570,None
