Subject ID: sub_29_3 , Experiment Time: 2021-01-19T14:44:35
Trial,Condition,Stage,TargetPos,CarSpeed,LandmarkPos1,StartPos,StartTime,LandmarkPos2,StopPos,AbsoluteErrorDis,RelativeErrorDis,EndTime,Insinght
1,1,Interval,0,0,0,0,14:44:58:472,0,0,0,0,14:45:1:120,None
1,1,Encode,0,0,0,0,14:45:1:122,0,0,0,0,14:45:6:139,None
1,1,Navigate,54.03824,10,80,2.5,14:45:6:140,80,25.70003,29.74225,28.33821,14:45:8:456,Miss
1,1,Correction,0,0,0,0,14:45:8:456,0,0,0,0,14:45:12:451,0
2,0,Interval,0,0,0,0,14:45:12:483,0,0,0,0,14:45:15:482,None
2,0,Encode,0,0,0,0,14:45:15:486,0,0,0,0,14:45:20:485,None
2,0,Navigate,71.0349,3,0,2.5,14:45:20:485,0,32.01991,40.04648,39.01499,14:45:30:319,Miss
2,0,Correction,0,0,0,0,14:45:30:319,0,0,0,0,14:45:34:317,0
3,0,Interval,0,0,0,0,14:45:34:350,0,0,0,0,14:45:37:349,None
3,0,Encode,0,0,0,0,14:45:37:352,0,0,0,0,14:45:42:368,None
3,0,Navigate,30.03686,11,0,2.5,14:45:42:368,0,26.69997,9.627218,3.336891,14:45:44:537,Hit
3,0,Correction,0,0,0,0,14:45:44:537,0,0,0,0,14:45:48:535,1
4,0,Interval,0,0,0,0,14:45:48:566,0,0,0,0,14:45:51:582,None
4,0,Encode,0,0,0,0,14:45:51:586,0,0,0,0,14:45:56:600,None
4,0,Navigate,46.03667,10,0,2.5,14:45:56:600,0,50.90012,10.25682,-4.863445,14:46:1:437,Hit
4,0,Correction,0,0,0,0,14:46:1:437,0,0,0,0,14:46:5:402,2
5,0,Interval,0,0,0,0,14:46:5:433,0,0,0,0,14:46:8:464,None
5,0,Encode,0,0,0,0,14:46:8:468,0,0,0,0,14:46:13:500,None
5,0,Navigate,57.03677,6,0,2.5,14:46:13:500,0,63.21982,10.94437,-6.183048,14:46:23:568,Hit
5,0,Correction,0,0,0,0,14:46:23:568,0,0,0,0,14:46:27:568,3
6,0,Interval,0,0,0,0,14:46:27:599,0,0,0,0,14:46:30:631,None
6,0,Encode,0,0,0,0,14:46:30:634,0,0,0,0,14:46:35:666,None
6,0,Navigate,51.03682,5,0,2.5,14:46:35:666,0,43.59991,11.69857,7.436913,14:46:43:868,Hit
6,0,Correction,0,0,0,0,14:46:43:868,0,0,0,0,14:46:47:834,4
7,2,Interval,0,0,0,0,14:46:47:865,0,0,0,0,14:46:50:897,None
7,2,Encode,0,0,0,0,14:46:50:900,0,0,0,0,14:46:55:916,None
7,2,Navigate,43.03489,11,80,2.5,14:46:55:916,79,46.72004,9.753503,-3.68515,14:46:59:918,Hit
7,2,Correction,0,0,0,0,14:46:59:918,0,0,0,0,14:47:3:917,5
8,0,Interval,0,0,0,0,14:47:3:948,0,0,0,0,14:47:6:980,None
8,0,Encode,0,0,0,0,14:47:6:984,0,0,0,0,14:47:11:983,None
8,0,Navigate,37.03277,11,0,2.5,14:47:11:983,0,42.32001,10.46461,-5.287243,14:47:15:585,Hit
8,0,Correction,0,0,0,0,14:47:15:585,0,0,0,0,14:47:19:550,6
9,0,Interval,0,0,0,0,14:47:19:581,0,0,0,0,14:47:22:613,None
9,0,Encode,0,0,0,0,14:47:22:616,0,0,0,0,14:47:27:649,None
9,0,Navigate,61.03677,5,0,2.5,14:47:27:649,0,44.49989,18.84192,16.53687,14:47:36:17,Miss
9,0,Correction,0,0,0,0,14:47:36:17,0,0,0,0,14:47:40:13,6
10,1,Interval,0,0,0,0,14:47:40:47,0,0,0,0,14:47:43:77,None
10,1,Encode,0,0,0,0,14:47:43:78,0,0,0,0,14:47:48:115,None
10,1,Navigate,49.03701,8,80,2.5,14:47:48:115,80,30.97998,20.18924,18.05704,14:47:51:650,Miss
10,1,Correction,0,0,0,0,14:47:51:650,0,0,0,0,14:47:55:648,6
11,0,Interval,0,0,0,0,14:47:55:680,0,0,0,0,14:47:58:680,None
11,0,Encode,0,0,0,0,14:47:58:684,0,0,0,0,14:48:3:682,None
11,0,Navigate,40.03481,8,0,2.5,14:48:3:683,0,38.33997,9.188228,1.694839,14:48:8:150,Hit
11,0,Correction,0,0,0,0,14:48:8:150,0,0,0,0,14:48:12:149,7
12,0,Interval,0,0,0,0,14:48:12:180,0,0,0,0,14:48:15:212,None
12,0,Encode,0,0,0,0,14:48:15:215,0,0,0,0,14:48:20:247,None
12,0,Navigate,64.0368,8,0,2.5,14:48:20:247,0,73.70016,13.2261,-9.663361,14:48:29:116,Hit
12,0,Correction,0,0,0,0,14:48:29:116,0,0,0,0,14:48:33:115,8
13,2,Interval,0,0,0,0,14:48:33:146,0,0,0,0,14:48:36:148,None
13,2,Encode,0,0,0,0,14:48:36:153,0,0,0,0,14:48:41:165,None
13,2,Navigate,68.03657,10,80,2.5,14:48:41:165,104,100.0996,33.3105,-32.06305,14:48:50:899,Miss
13,2,Correction,0,0,0,0,14:48:50:899,0,0,0,0,14:48:54:896,8
14,2,Interval,0,0,0,0,14:48:54:930,0,0,0,0,14:48:57:946,None
14,2,Encode,0,0,0,0,14:48:57:949,0,0,0,0,14:49:2:964,None
14,2,Navigate,70.03677,3,80,2.5,14:49:2:964,73,38.32005,32.97726,31.71672,14:49:14:899,Miss
14,2,Correction,0,0,0,0,14:49:14:899,0,0,0,0,14:49:18:896,8
15,1,Interval,0,0,0,0,14:49:18:929,0,0,0,0,14:49:21:928,None
15,1,Encode,0,0,0,0,14:49:21:932,0,0,0,0,14:49:26:946,None
15,1,Navigate,31.0368,3,80,2.5,14:49:26:946,80,15.46005,18.00512,15.57675,14:49:31:249,Miss
15,1,Correction,0,0,0,0,14:49:31:249,0,0,0,0,14:49:35:245,8
16,1,Interval,0,0,0,0,14:49:35:278,0,0,0,0,14:49:38:279,None
16,1,Encode,0,0,0,0,14:49:38:283,0,0,0,0,14:49:43:297,None
16,1,Navigate,66.03675,6,80,2.5,14:49:43:297,80,61.89983,9.932962,4.136917,14:49:53:164,Hit
16,1,Correction,0,0,0,0,14:49:53:164,0,0,0,0,14:49:57:163,9
17,2,Interval,0,0,0,0,14:49:57:194,0,0,0,0,14:50:0:211,None
17,2,Encode,0,0,0,0,14:50:0:215,0,0,0,0,14:50:5:230,None
17,2,Navigate,33.03686,4,80,2.5,14:50:5:230,46,24.81998,12.20927,8.216879,14:50:10:797,Hit
17,2,Correction,0,0,0,0,14:50:10:797,0,0,0,0,14:50:14:796,10
18,2,Interval,0,0,0,0,14:50:14:828,0,0,0,0,14:50:17:844,None
18,2,Encode,0,0,0,0,14:50:17:848,0,0,0,0,14:50:22:863,None
